"site_code";"siteid";"assetnum";"asset_group";"asset_desc";"machine_loading";"part_num";"oper_num";"asset_net_avail_time";"ideal_cycle_time";"fw";"fy";"fiscal_wk_begin";"fiscal_wk_end";"qty_claimed";"qty_noncf";"down_time_min"
"GNV";"GNSC";"GN174136";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;48;2016;"2016-11-28 00:00:00";"2016-12-04 00:00:00";1032;6;0
"GNV";"GNSC";"GN174136";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";136;0;0
"GNV";"GNSC";"GN174136";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";572;6;0
"GNV";"GNSC";"GN172663";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";572;6;54
"GNV";"GNSC";"GN172663";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";136;0;54
"GNV";"GNSC";"GN174092";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;48;2016;"2016-11-28 00:00:00";"2016-12-04 00:00:00";1032;6;0
"GNV";"GNSC";"GN174092";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";136;0;0
"GNV";"GNSC";"GN174092";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";572;6;0
"GNV";"GNSC";"GN172663";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;48;2016;"2016-11-28 00:00:00";"2016-12-04 00:00:00";1032;6;0
"GNV";"GNSC";"GN171695";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";572;6;0
"GNV";"GNSC";"GN171695";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";136;0;0
"GNV";"GNSC";"GN171695";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;48;2016;"2016-11-28 00:00:00";"2016-12-04 00:00:00";1032;6;0
"GNV";"GNSC";"GN174139";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;48;2016;"2016-11-28 00:00:00";"2016-12-04 00:00:00";1032;6;0
"GNV";"GNSC";"GN174139";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";136;0;0
"GNV";"GNSC";"GN174139";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";572;6;0
"GNV";"GNSC";"GN173422";"GE90 Grind";"BLOHM GRINDER";1;"2084M61P09";"25";6120;8.16;48;2016;"2016-11-28 00:00:00";"2016-12-04 00:00:00";1804;24;20
"GNV";"GNSC";"GN174140";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";136;0;0
"GNV";"GNSC";"GN174140";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";572;6;0
"GNV";"GNSC";"GN174140";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;48;2016;"2016-11-28 00:00:00";"2016-12-04 00:00:00";1032;6;0
"GNV";"GNSC";"GN170903";"M91 Grind";"BLOHM GRINDER";1;"2403M91P05";"25";6120;4.6;48;2016;"2016-11-28 00:00:00";"2016-12-04 00:00:00";6000;56;0
"GNV";"GNSC";"GN170903";"M91 Grind";"BLOHM GRINDER";0.33;"2403M91P05";"25";6120;4.6;48;2016;"2016-11-28 00:00:00";"2016-12-04 00:00:00";6000;56;0
"GNV";"GNSC";"GN172263";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";572;6;0
"GNV";"GNSC";"GN172263";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";136;0;0
"GNV";"GNSC";"GN172263";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;48;2016;"2016-11-28 00:00:00";"2016-12-04 00:00:00";1032;6;25
"GNV";"GNSC";"GN172265";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;48;2016;"2016-11-28 00:00:00";"2016-12-04 00:00:00";1032;6;0
"GNV";"GNSC";"GN172265";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";136;0;0
"GNV";"GNSC";"GN172265";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";572;6;0
"GNV";"GNSC";"GN171711";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";572;6;30
"GNV";"GNSC";"GN171711";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";136;0;30
"GNV";"GNSC";"GN171711";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;48;2016;"2016-11-28 00:00:00";"2016-12-04 00:00:00";1032;6;0
"GNV";"GNSC";"GN172659";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;48;2016;"2016-11-28 00:00:00";"2016-12-04 00:00:00";1032;6;0
"GNV";"GNSC";"GN172659";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";136;0;0
"GNV";"GNSC";"GN172659";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;43;2016;"2016-10-24 00:00:00";"2016-10-30 00:00:00";652;4;0
"GNV";"GNSC";"GN172659";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;43;2016;"2016-10-24 00:00:00";"2016-10-30 00:00:00";34;0;0
"GNV";"GNSC";"GN171710";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;43;2016;"2016-10-24 00:00:00";"2016-10-30 00:00:00";652;4;0
"GNV";"GNSC";"GN171710";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;43;2016;"2016-10-24 00:00:00";"2016-10-30 00:00:00";34;0;0
"GNV";"GNSC";"GN171710";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;11;2016;"2016-03-14 00:00:00";"2016-03-20 00:00:00";550;2;0
"GNV";"GNSC";"GN171710";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;11;2016;"2016-03-14 00:00:00";"2016-03-20 00:00:00";382;4;0
"GNV";"GNSC";"GN172266";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;11;2016;"2016-03-14 00:00:00";"2016-03-20 00:00:00";550;2;0
"GNV";"GNSC";"GN172266";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;11;2016;"2016-03-14 00:00:00";"2016-03-20 00:00:00";382;4;0
"GNV";"GNSC";"GN174138";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;43;2016;"2016-10-24 00:00:00";"2016-10-30 00:00:00";34;0;0
"GNV";"GNSC";"GN174138";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;43;2016;"2016-10-24 00:00:00";"2016-10-30 00:00:00";652;4;0
"GNV";"GNSC";"GN174138";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;11;2016;"2016-03-14 00:00:00";"2016-03-20 00:00:00";382;4;0
"GNV";"GNSC";"GN174138";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;11;2016;"2016-03-14 00:00:00";"2016-03-20 00:00:00";550;2;0
"GNV";"GNSC";"GN172266";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;43;2016;"2016-10-24 00:00:00";"2016-10-30 00:00:00";34;0;0
"GNV";"GNSC";"GN172266";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;43;2016;"2016-10-24 00:00:00";"2016-10-30 00:00:00";652;4;0
"GNV";"GNSC";"GN171713";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;43;2016;"2016-10-24 00:00:00";"2016-10-30 00:00:00";34;0;62
"GNV";"GNSC";"GN171713";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;43;2016;"2016-10-24 00:00:00";"2016-10-30 00:00:00";652;4;62
"GNV";"GNSC";"GN171713";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;11;2016;"2016-03-14 00:00:00";"2016-03-20 00:00:00";550;2;28
"GNV";"GNSC";"GN171713";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;11;2016;"2016-03-14 00:00:00";"2016-03-20 00:00:00";382;4;28
"GNV";"GNSC";"GN171017";"M96 Grind";"WASTE WATER  SUMP ( waterflow sink GN172301)";1;"2100M96P05";"150";6120;5;43;2016;"2016-10-24 00:00:00";"2016-10-30 00:00:00";9736;32;0
"GNV";"GNSC";"GN171017";"M96 Grind";"WASTE WATER  SUMP ( waterflow sink GN172301)";1;"2100M96P05";"150";6120;5;11;2016;"2016-03-14 00:00:00";"2016-03-20 00:00:00";7000;8;0
"GNV";"GNSC";"GN174134";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;11;2016;"2016-03-14 00:00:00";"2016-03-20 00:00:00";382;4;0
"GNV";"GNSC";"GN174134";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;43;2016;"2016-10-24 00:00:00";"2016-10-30 00:00:00";652;4;0
"GNV";"GNSC";"GN174134";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;11;2016;"2016-03-14 00:00:00";"2016-03-20 00:00:00";550;2;0
"GNV";"GNSC";"GN174134";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;43;2016;"2016-10-24 00:00:00";"2016-10-30 00:00:00";34;0;0
